id,外貌,星座,状态,性格,消费观念,是否接收私房钱,收入,男生收入,男生消费情况,男生颜值,结果
1,2,2,3,3,2,2,3,1,1,1,5
1,2,2,3,3,2,2,3,1,1,2,4
1,2,2,3,3,2,2,3,1,2,1,2
1,2,2,3,3,2,2,3,1,2,2,2
1,2,2,3,3,2,2,3,2,1,1,4
1,2,2,3,3,2,2,3,2,1,2,3
1,2,2,3,3,2,2,3,2,2,1,2
1,2,2,3,3,2,2,3,2,2,2,1
3,2,4,2,1,1,2,3,1,1,1,5
3,2,4,2,1,1,2,3,1,1,2,5
3,2,4,2,1,1,2,3,1,2,1,1
3,2,4,2,1,1,2,3,1,2,2,1
3,2,4,2,1,1,2,3,2,1,1,3
3,2,4,2,1,1,2,3,2,1,2,3
3,2,4,2,1,1,2,3,2,2,1,1
3,2,4,2,1,1,2,3,2,2,2,1
4,1,3,2,3,1,2,3,1,1,1,5
4,1,3,2,3,1,2,3,1,1,2,1
4,1,3,2,3,1,2,3,1,2,1,5
4,1,3,2,3,1,2,3,1,2,2,1
4,1,3,2,3,1,2,3,2,1,1,5
4,1,3,2,3,1,2,3,2,1,2,1
4,1,3,2,3,1,2,3,2,2,1,5
4,1,3,2,3,1,2,3,2,2,2,1
8,2,4,2,1,1,2,1,1,1,1,5
8,2,4,2,1,1,2,1,1,1,2,5
8,2,4,2,1,1,2,1,1,2,1,1
8,2,4,2,1,1,2,1,1,2,2,2
8,2,4,2,1,1,2,1,2,1,1,5
8,2,4,2,1,1,2,1,2,1,2,3
8,2,4,2,1,1,2,1,2,2,1,1
8,2,4,2,1,1,2,1,2,2,2,1
9,1,3,3,1,1,2,3,1,1,1,5
9,1,3,3,1,1,2,3,1,1,2,5
9,1,3,3,1,1,2,3,1,2,1,5
9,1,3,3,1,1,2,3,1,2,2,5
9,1,3,3,1,1,2,3,2,1,1,3
9,1,3,3,1,1,2,3,2,1,2,3
9,1,3,3,1,1,2,3,2,2,1,1
9,1,3,3,1,1,2,3,2,2,2,1
11,1,4,3,3,2,1,3,1,1,1,5
11,1,4,3,3,2,1,3,1,1,2,2
11,1,4,3,3,2,1,3,1,2,1,5
11,1,4,3,3,2,1,3,1,2,2,1
11,1,4,3,3,2,1,3,2,1,1,5
11,1,4,3,3,2,1,3,2,1,2,3
11,1,4,3,3,2,1,3,2,2,1,2
11,1,4,3,3,2,1,3,2,2,2,1
12,2,4,2,1,1,2,2,1,1,1,2
12,2,4,2,1,1,2,2,1,1,2,2
12,2,4,2,1,1,2,2,1,2,1,3
12,2,4,2,1,1,2,2,1,2,2,3
12,2,4,2,1,1,2,2,2,1,1,1
12,2,4,2,1,1,2,2,2,1,2,1
12,2,4,2,1,1,2,2,2,2,1,1
12,2,4,2,1,1,2,2,2,2,2,1
14,2,4,3,3,3,2,2,1,1,1,5
14,2,4,3,3,3,2,2,1,1,2,5
14,2,4,3,3,3,2,2,1,2,1,4
14,2,4,3,3,3,2,2,1,2,2,4
14,2,4,3,3,3,2,2,2,1,1,3
14,2,4,3,3,3,2,2,2,1,2,3
14,2,4,3,3,3,2,2,2,2,1,2
14,2,4,3,3,3,2,2,2,2,2,2
15,2,2,2,1,1,2,2,1,1,1,5
15,2,2,2,1,1,2,2,1,1,2,5
15,2,2,2,1,1,2,2,1,2,1,5
15,2,2,2,1,1,2,2,1,2,2,1
15,2,2,2,1,1,2,2,2,1,1,5
15,2,2,2,1,1,2,2,2,1,2,2
15,2,2,2,1,1,2,2,2,2,1,5
15,2,2,2,1,1,2,2,2,2,2,2
18,2,2,2,2,2,2,3,1,1,1,5
18,2,2,2,2,2,2,3,1,1,2,5
18,2,2,2,2,2,2,3,1,2,1,4
18,2,2,2,2,2,2,3,1,2,2,4
18,2,2,2,2,2,2,3,2,1,1,4
18,2,2,2,2,2,2,3,2,1,2,4
18,2,2,2,2,2,2,3,2,2,1,4
18,2,2,2,2,2,2,3,2,2,2,4
20,2,3,2,2,3,2,2,1,1,1,3
20,2,3,2,2,3,2,2,1,1,2,2
20,2,3,2,2,3,2,2,1,2,1,2
20,2,3,2,2,3,2,2,1,2,2,2
20,2,3,2,2,3,2,2,2,1,1,3
20,2,3,2,2,3,2,2,2,1,2,3
20,2,3,2,2,3,2,2,2,2,1,2
20,2,3,2,2,3,2,2,2,2,2,3
21,1,3,2,3,3,2,3,1,1,1,5
21,1,3,2,3,3,2,3,1,1,2,1
21,1,3,2,3,3,2,3,1,2,1,5
21,1,3,2,3,3,2,3,1,2,2,1
21,1,3,2,3,3,2,3,2,1,1,5
21,1,3,2,3,3,2,3,2,1,2,1
21,1,3,2,3,3,2,3,2,2,1,5
21,1,3,2,3,3,2,3,2,2,2,1
22,1,1,2,3,3,2,3,1,1,1,5
22,1,1,2,3,3,2,3,1,1,2,1
22,1,1,2,3,3,2,3,1,2,1,5
22,1,1,2,3,3,2,3,1,2,2,1
22,1,1,2,3,3,2,3,2,1,1,5
22,1,1,2,3,3,2,3,2,1,2,1
22,1,1,2,3,3,2,3,2,2,1,5
22,1,1,2,3,3,2,3,2,2,2,1
23,1,3,2,2,3,2,1,1,1,1,5
23,1,3,2,2,3,2,1,1,1,2,1
23,1,3,2,2,3,2,1,1,2,1,1
23,1,3,2,2,3,2,1,1,2,2,1
23,1,3,2,2,3,2,1,2,1,1,5
23,1,3,2,2,3,2,1,2,1,2,1
23,1,3,2,2,3,2,1,2,2,1,1
23,1,3,2,2,3,2,1,2,2,2,1
26,1,2,2,2,3,2,3,1,1,1,5
26,1,2,2,2,3,2,3,1,1,2,5
26,1,2,2,2,3,2,3,1,2,1,5
26,1,2,2,2,3,2,3,1,2,2,5
26,1,2,2,2,3,2,3,2,1,1,2
26,1,2,2,2,3,2,3,2,1,2,2
26,1,2,2,2,3,2,3,2,2,1,1
26,1,2,2,2,3,2,3,2,2,2,1
27,2,4,2,3,3,2,2,1,1,1,5
27,2,4,2,3,3,2,2,1,1,2,5
27,2,4,2,3,3,2,2,1,2,1,4
27,2,4,2,3,3,2,2,1,2,2,1
27,2,4,2,3,3,2,2,2,1,1,5
27,2,4,2,3,3,2,2,2,1,2,1
27,2,4,2,3,3,2,2,2,2,1,5
27,2,4,2,3,3,2,2,2,2,2,1
31,2,1,1,1,2,2,1,1,1,1,2
31,2,1,1,1,2,2,1,1,1,2,2
31,2,1,1,1,2,2,1,1,2,1,1
31,2,1,1,1,2,2,1,1,2,2,1
31,2,1,1,1,2,2,1,2,1,1,3
31,2,1,1,1,2,2,1,2,1,2,4
31,2,1,1,1,2,2,1,2,2,1,2
31,2,1,1,1,2,2,1,2,2,2,3
35,1,1,2,3,3,2,3,1,1,1,5
35,1,1,2,3,3,2,3,1,1,2,5
35,1,1,2,3,3,2,3,1,2,1,2
35,1,1,2,3,3,2,3,1,2,2,1
35,1,1,2,3,3,2,3,2,1,1,5
35,1,1,2,3,3,2,3,2,1,2,1
35,1,1,2,3,3,2,3,2,2,1,2
35,1,1,2,3,3,2,3,2,2,2,1
37,2,3,2,1,3,2,1,1,1,1,4
37,2,3,2,1,3,2,1,1,1,2,4
37,2,3,2,1,3,2,1,1,2,1,4
37,2,3,2,1,3,2,1,1,2,2,3
37,2,3,2,1,3,2,1,2,1,1,3
37,2,3,2,1,3,2,1,2,1,2,3
37,2,3,2,1,3,2,1,2,2,1,3
37,2,3,2,1,3,2,1,2,2,2,5
39,1,3,3,3,1,2,1,1,1,1,5
39,1,3,3,3,1,2,1,1,1,2,1
39,1,3,3,3,1,2,1,1,2,1,5
39,1,3,3,3,1,2,1,1,2,2,1
39,1,3,3,3,1,2,1,2,1,1,5
39,1,3,3,3,1,2,1,2,1,2,1
39,1,3,3,3,1,2,1,2,2,1,5
39,1,3,3,3,1,2,1,2,2,2,1
40,2,2,3,3,1,2,1,1,1,1,5
40,2,2,3,3,1,2,1,1,1,2,2
40,2,2,3,3,1,2,1,1,2,1,5
40,2,2,3,3,1,2,1,1,2,2,2
40,2,2,3,3,1,2,1,2,1,1,5
40,2,2,3,3,1,2,1,2,1,2,2
40,2,2,3,3,1,2,1,2,2,1,5
40,2,2,3,3,1,2,1,2,2,2,2
41,2,4,2,1,1,2,2,1,1,1,3
41,2,4,2,1,1,2,2,1,1,2,1
41,2,4,2,1,1,2,2,1,2,1,3
41,2,4,2,1,1,2,2,1,2,2,1
41,2,4,2,1,1,2,2,2,1,1,3
41,2,4,2,1,1,2,2,2,1,2,1
41,2,4,2,1,1,2,2,2,2,1,3
41,2,4,2,1,1,2,2,2,2,2,1
42,3,1,3,2,1,2,2,1,1,1,5
42,3,1,3,2,1,2,2,1,1,2,4
42,3,1,3,2,1,2,2,1,2,1,3
42,3,1,3,2,1,2,2,1,2,2,2
42,3,1,3,2,1,2,2,2,1,1,4
42,3,1,3,2,1,2,2,2,1,2,4
42,3,1,3,2,1,2,2,2,2,1,2
42,3,1,3,2,1,2,2,2,2,2,1
43,3,4,2,3,2,2,2,1,1,1,5
43,3,4,2,3,2,2,2,1,1,2,5
43,3,4,2,3,2,2,2,1,2,1,4
43,3,4,2,3,2,2,2,1,2,2,4
43,3,4,2,3,2,2,2,2,1,1,2
43,3,4,2,3,2,2,2,2,1,2,2
43,3,4,2,3,2,2,2,2,2,1,1
43,3,4,2,3,2,2,2,2,2,2,1
44,2,4,3,1,1,2,2,1,1,1,5
44,2,4,3,1,1,2,2,1,1,2,4
44,2,4,3,1,1,2,2,1,2,1,4
44,2,4,3,1,1,2,2,1,2,2,3
44,2,4,3,1,1,2,2,2,1,1,3
44,2,4,3,1,1,2,2,2,1,2,2
44,2,4,3,1,1,2,2,2,2,1,3
44,2,4,3,1,1,2,2,2,2,2,2
45,2,2,2,2,2,2,2,1,1,1,4
45,2,2,2,2,2,2,2,1,1,2,4
45,2,2,2,2,2,2,2,1,2,1,3
45,2,2,2,2,2,2,2,1,2,2,3
45,2,2,2,2,2,2,2,2,1,1,5
45,2,2,2,2,2,2,2,2,1,2,5
45,2,2,2,2,2,2,2,2,2,1,3
45,2,2,2,2,2,2,2,2,2,2,3
46,1,4,2,1,3,1,3,1,1,1,2
46,1,4,2,1,3,1,3,1,1,2,1
46,1,4,2,1,3,1,3,1,2,1,1
46,1,4,2,1,3,1,3,1,2,2,1
46,1,4,2,1,3,1,3,2,1,1,1
46,1,4,2,1,3,1,3,2,1,2,1
46,1,4,2,1,3,1,3,2,2,1,1
46,1,4,2,1,3,1,3,2,2,2,1
47,2,1,2,2,1,2,3,1,1,1,5
47,2,1,2,2,1,2,3,1,1,2,3
47,2,1,2,2,1,2,3,1,2,1,4
47,2,1,2,2,1,2,3,1,2,2,4
47,2,1,2,2,1,2,3,2,1,1,4
47,2,1,2,2,1,2,3,2,1,2,4
47,2,1,2,2,1,2,3,2,2,1,4
47,2,1,2,2,1,2,3,2,2,2,4
48,1,4,2,3,2,2,2,1,1,1,5
48,1,4,2,3,2,2,2,1,1,2,5
48,1,4,2,3,2,2,2,1,2,1,1
48,1,4,2,3,2,2,2,1,2,2,3
48,1,4,2,3,2,2,2,2,1,1,2
48,1,4,2,3,2,2,2,2,1,2,2
48,1,4,2,3,2,2,2,2,2,1,1
48,1,4,2,3,2,2,2,2,2,2,1
49,1,2,2,3,1,1,1,1,1,1,1
49,1,2,2,3,1,1,1,1,1,2,1
49,1,2,2,3,1,1,1,1,2,1,1
49,1,2,2,3,1,1,1,1,2,2,1
49,1,2,2,3,1,1,1,2,1,1,3
49,1,2,2,3,1,1,1,2,1,2,2
49,1,2,2,3,1,1,1,2,2,1,2
49,1,2,2,3,1,1,1,2,2,2,1
50,2,4,1,2,3,2,3,1,1,1,2
50,2,4,1,2,3,2,3,1,1,2,2
50,2,4,1,2,3,2,3,1,2,1,1
50,2,4,1,2,3,2,3,1,2,2,1
50,2,4,1,2,3,2,3,2,1,1,1
50,2,4,1,2,3,2,3,2,1,2,1
50,2,4,1,2,3,2,3,2,2,1,1
50,2,4,1,2,3,2,3,2,2,2,1
51,2,4,2,3,1,2,2,1,1,1,5
51,2,4,2,3,1,2,2,1,1,2,5
51,2,4,2,3,1,2,2,1,2,1,4
51,2,4,2,3,1,2,2,1,2,2,4
51,2,4,2,3,1,2,2,2,1,1,3
51,2,4,2,3,1,2,2,2,1,2,3
51,2,4,2,3,1,2,2,2,2,1,1
51,2,4,2,3,1,2,2,2,2,2,1
52,1,3,2,2,2,1,2,1,1,1,2
52,1,3,2,2,2,1,2,1,1,2,3
52,1,3,2,2,2,1,2,1,2,1,5
52,1,3,2,2,2,1,2,1,2,2,3
52,1,3,2,2,2,1,2,2,1,1,3
52,1,3,2,2,2,1,2,2,1,2,4
52,1,3,2,2,2,1,2,2,2,1,2
52,1,3,2,2,2,1,2,2,2,2,4
54,2,1,1,3,1,2,3,1,1,1,3
54,2,1,1,3,1,2,3,1,1,2,5
54,2,1,1,3,1,2,3,1,2,1,2
54,2,1,1,3,1,2,3,1,2,2,2
54,2,1,1,3,1,2,3,2,1,1,2
54,2,1,1,3,1,2,3,2,1,2,2
54,2,1,1,3,1,2,3,2,2,1,2
54,2,1,1,3,1,2,3,2,2,2,2
55,2,2,1,3,1,2,1,1,1,1,1
55,2,2,1,3,1,2,1,1,1,2,1
55,2,2,1,3,1,2,1,1,2,1,1
55,2,2,1,3,1,2,1,1,2,2,1
55,2,2,1,3,1,2,1,2,1,1,1
55,2,2,1,3,1,2,1,2,1,2,1
55,2,2,1,3,1,2,1,2,2,1,1
55,2,2,1,3,1,2,1,2,2,2,2
58,2,2,1,1,1,1,2,1,1,1,5
58,2,2,1,1,1,1,2,1,1,2,5
58,2,2,1,1,1,1,2,1,2,1,5
58,2,2,1,1,1,1,2,1,2,2,5
58,2,2,1,1,1,1,2,2,1,1,2
58,2,2,1,1,1,1,2,2,1,2,2
58,2,2,1,1,1,1,2,2,2,1,3
58,2,2,1,1,1,1,2,2,2,2,3
59,2,3,1,1,1,2,2,1,1,1,2
59,2,3,1,1,1,2,2,1,1,2,1
59,2,3,1,1,1,2,2,1,2,1,1
59,2,3,1,1,1,2,2,1,2,2,1
59,2,3,1,1,1,2,2,2,1,1,1
59,2,3,1,1,1,2,2,2,1,2,1
59,2,3,1,1,1,2,2,2,2,1,1
59,2,3,1,1,1,2,2,2,2,2,1
